Kgrid,V1,V2,V3,K1,K2,K3,L1,L2,L3,n_iter,time,tol_level,V1InitialGuess,V2InitialGuess,V3InitialGuess,n_iter_acc
3.80633890646215,-16.3460119482717,-16.3480757178561,-16.3501004937524,4.7993265075974,4.88951576416472,4.88950880530424,0.672182178901811,0.67822219789245,0.684059756766215,10000,6.3736828,1e-07,0.36468351027356,0.3811717465171,0.397876183703503,1
3.85147335989846,-16.3523280937001,-16.3543094807931,-16.3562509321944,4.84443006555986,4.88950880530424,4.88950880530424,0.681631127900856,0.687352518545145,0.692875875024366,10000,6.3736828,1e-07,0.385028790226596,0.401249091410009,0.417688575287347,1
3.89660781333477,-16.3588930547192,-16.360783027545,-16.3626324871423,4.88951924453378,4.88950880530424,4.88950880530424,0.69132355683844,0.696707220952947,0.701898585257856,10000,6.3736828,1e-07,0.404949303902667,0.420912035514251,0.437096618696522,1
3.94174226677108,-16.3657185724513,-16.3675073877907,-16.3692555334572,4.88950880530424,4.88950880530424,4.88950880530424,0.701267096923797,0.706292979850813,0.711133719908639,10000,6.3736828,1e-07,0.424462385486764,0.440177302453468,0.456116455816788,1
3.98687672020739,-16.3728169821821,-16.3744941341774,-16.3761309437944,4.88950880530424,4.88950880530424,4.88950880530424,0.71146959708529,0.716116648675247,0.720587257956297,10000,6.3736828,1e-07,0.443584332834517,0.459060627009543,0.474763284182926,1
4.0320111736437,-16.3802012416782,-16.3817554074054,-16.3832701109616,4.88950880530424,4.88950880530424,4.88950880530424,0.721939124808464,0.726185259947414,0.730265325005711,10000,6.3736828,1e-07,0.462330488297762,0.477576831403892,0.493051429071209,1
4.07714562708001,-15.6544224319565,-14.8996944770801,-9.53788898695079,4.88950880530424,4.88950880530424,4.88950880530424,0.732683966288691,0.736506025121767,0.740174192959577,10000,6.3736828,1e-07,0.480715311829873,0.495739894371264,0.510994408849614,1
4.12228008051632,-11.2103170084077,-5.86564393886527,-4.3173273177032,4.88950880530424,4.88950880530424,4.88950880530424,0.743712625824789,0.747086333847376,0.750320279237961,10000,6.3736828,1e-07,0.498752447238672,0.513563013827562,0.528604994328018,1
4.16741453395263,-3.9053240769809,-3.03004055622741,-2.6296852648312,4.88950880530424,4.88950880530424,4.88950880530424,0.755033824377314,0.757933752587483,0.760710145506077,10000,6.3736828,1e-07,0.516454782343062,0.531058663831174,0.545895262757132,1
4.21254898738894,-2.60613397109108,-2.30488436332829,-2.08996809247646,4.88950880530424,4.88950880530424,4.88950880530424,0.766656497213097,0.769056022541568,0.771350495870795,10000,6.3736828,1e-07,0.533834503693923,0.548238646449757,0.56287664704451,1
